ID,Study,AgeinMonths,AgeCentered,AgeCat,AgeCatCentered,Gender,Race,Order,Original_FR_Judgment,Original_Con_Judgment,Original_FR_Preference,Original_Con_Preference,Original_FR_NoCostPunish,Original_Con_NoCostPunish,Original_FR_CostlyPunish,Original_Con_CostlyPunish,Original_FR_RewardDecision,Original_Con_RewardDecision,Original_FR_RewardGiven,Original_Con_RewardGiven,Comparison_FR_Judgment,Comparison_Con_Judgment,Comparison_FR_Preference,Comparison_Con_Preference,Comparison_FR_NoCostPunish,Comparison_Con_NoCostPunish,Comparison_FR_CostlyPunish,Comparison_Con_CostlyPunish,Comparison_FR_RewardDecision,Comparison_Con_RewardDecision,Comparison_FR_RewardGiven,Comparison_Con_RewardGiven
317,3,108,19.59375,2,1,1,1,8,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
318,3,110,21.59375,2,1,1,4,5,2,4,2,4, , , , , , , , ,2,4,2,4, , , , , , , , 
319,3,111,22.59375,2,1,1,1,2,3,4,3,3, , , , , , , , ,4,3,4,3, , , , , , , , 
320,3,111,22.59375,2,1,0,1,3,2,4,3,3, , , , , , , , ,2,3,2,3, , , , , , , , 
321,3,111,22.59375,2,1,1,1,4,3,4,3,4, , , , , , , , ,3,4,3,3, , , , , , , , 
322,3,112,23.59375,2,1,0,1,1,3,4,3,4, , , , , , , , ,4,4,4,4, , , , , , , , 
323,3,119,30.59375,2,1,0,1,3,4,4,3,4, , , , , , , , ,3,4,3,4, , , , , , , , 
324,3,120,31.59375,2,1,1,1,5,2,4,3,4, , , , , , , , ,2,4,3,4, , , , , , , , 
325,3,123,34.59375,2,1,1,1,1,4,4,4,4, , , , , , , , ,4,4,4,4, , , , , , , , 
326,3,125,36.59375,2,1,1,1,8,1,4,1,4, , , , , , , , ,1,4,1,4, , , , , , , , 
327,3,125,36.59375,2,1,0,1,2,2,4,2,3, , , , , , , , ,2,3,2,3, , , , , , , , 
328,3,126,37.59375,2,1,1,1,4,2,4,2,4, , , , , , , , ,1,4,1,4, , , , , , , , 
329,3,126,37.59375,2,1,0,1,7,1,4,1,4, , , , , , , , ,1,4,2,4, , , , , , , , 
330,3,128,39.59375,2,1,0,1,6,1,4,1,4, , , , , , , , ,1,4,2,4, , , , , , , , 
331,3,129,40.59375,2,1,0,1,7,3,4,4,4, , , , , , , , ,2,4,3,4, , , , , , , , 
332,3,131,42.59375,2,1,0,1,6,3,4,3,4, , , , , , , , ,2,4,3,4, , , , , , , , 
401,4,51,-39.5,1,-1,0,1,3, , , , , , , , , , , , ,1,4,1,4, , , , , , , , 
402,4,52,-38.5,1,-1,1,1,1, , , , , , , , , , , , ,1,4,1,4, , , , , , , , 
403,4,54,-36.5,1,-1,0,1,2, , , , , , , , , , , , ,4,4,4,4, , , , , , , , 
404,4,54,-36.5,1,-1,1,1,4, , , , , , , , , , , , ,1,4,2,4, , , , , , , , 
405,4,55,-35.5,1,-1,0,1,2, , , , , , , , , , , , ,3,1,4,4, , , , , , , , 
406,4,56,-34.5,1,-1,1,1,3, , , , , , , , , , , , ,2,4,2,4, , , , , , , , 
407,4,57,-33.5,1,-1,1,1,1, , , , , , , , , , , , ,2,4,4,4, , , , , , , , 
408,4,57,-33.5,1,-1,0,1,4, , , , , , , , , , , , ,1,3,1,3, , , , , , , , 
409,4,59,-31.5,1,-1,0,1,2, , , , , , , , , , , , ,1,4,1,4, , , , , , , , 
410,4,59,-31.5,1,-1,0,1,2, , , , , , , , , , , , ,1,4,2,3, , , , , , , , 
411,4,61,-29.5,1,-1,1,1,3, , , , , , , , , , , , ,2,4,3,4, , , , , , , , 
412,4,62,-28.5,1,-1,0,3,3, , , , , , , , , , , , ,4,4,4,4, , , , , , , , 
413,4,65,-25.5,1,-1,1,4,3, , , , , , , , , , , , ,1,4,1,4, , , , , , , , 
414,4,66,-24.5,1,-1,1,1,4, , , , , , , , , , , , ,3,2,3,2, , , , , , , , 
415,4,68,-22.5,1,-1,1,1,1, , , , , , , , , , , , ,2,4,2,4, , , , , , , , 
416,4,70,-20.5,1,-1,0,1,4, , , , , , , , , , , , ,1,4,1,3, , , , , , , , 
417,4,105,14.5,2,1,0,1,3, , , , , , , , , , , , ,2,3,2,3, , , , , , , , 
418,4,111,20.5,2,1,1,1,1, , , , , , , , , , , , ,2,4,2,4, , , , , , , , 
419,4,111,20.5,2,1,1,5,1, , , , , , , , , , , , ,2,4,3,3, , , , , , , , 
420,4,112,21.5,2,1,0,1,2, , , , , , , , , , , , ,2,4,2,4, , , , , , , , 
421,4,116,25.5,2,1,1,1,4, , , , , , , , , , , , ,1,4,1,4, , , , , , , , 
422,4,117,26.5,2,1,0,1,3, , , , , , , , , , , , ,2,4,2,4, , , , , , , , 
423,4,120,29.5,2,1,0,1,4, , , , , , , , , , , , ,2,4,4,4, , , , , , , , 
424,4,122,31.5,2,1,1,3,2, , , , , , , , , , , , ,3,4,3,4, , , , , , , , 
425,4,127,36.5,2,1,1,1,1, , , , , , , , , , , , ,2,4,2,3, , , , , , , , 
426,4,127,36.5,2,1,0,4,4, , , , , , , , , , , , ,1,4,1,4, , , , , , , , 
427,4,128,37.5,2,1,0,1,1, , , , , , , , , , , , ,2,4,2,4, , , , , , , , 
428,4,130,39.5,2,1,1,1,2, , , , , , , , , , , , ,4,4,4,4, , , , , , , , 
429,4,130,39.5,2,1,1,2,3, , , , , , , , , , , , ,2,4,2,4, , , , , , , , 
430,4,131,40.5,2,1,0,1,1, , , , , , , , , , , , ,4,4,3,4, , , , , , , , 
